# VELOCITY:     AVE_POFV:        ERROR:
   0.0733333   0.0118371           0
        0.22   0.0865846           0
    0.366667    0.228801           0
    0.513333    0.395778           0
        0.66    0.557547           0
    0.806667    0.643732           0
    0.953333    0.759554           0
         1.1    0.749547           0
     1.24667    0.701292           0
     1.39333    0.656856           0
        1.54    0.514295           0
     1.68667    0.451569           0
     1.83333    0.357141           0
        1.98    0.253827           0
     2.12667    0.156253           0
     2.27333    0.114168           0
        2.42   0.0655772           0
     2.56667   0.0486486           0
     2.71333   0.0293729           0
        2.86   0.0161528           0
     3.00667  0.00880829           0
     3.15333  0.00464015           0
         3.3  0.00145202           0
     3.44667 0.000883838           0
     3.59333  0.00123106           0
        3.74  0.00133136           0
     3.88667 0.000923074           0
     4.03333  9.4697e-05           0
        4.18 0.000126263           0
     4.32667 0.000157828           0


   0.0733333   0.0142519   0.0017075
        0.22   0.0867109 8.92812e-05
    0.366667     0.21549   0.0094127
    0.513333    0.392018  0.00265903
        0.66    0.572319   0.0104447
    0.806667     0.67769   0.0240119
    0.953333    0.763363  0.00269314
         1.1    0.773826   0.0171683
     1.24667    0.739235   0.0268297
     1.39333    0.646278  0.00747959
        1.54    0.513508 0.000556338
     1.68667    0.440099  0.00811009
     1.83333    0.341875   0.0107943
        1.98    0.234158   0.0139081
     2.12667    0.153821   0.0017196
     2.27333   0.0992401   0.0105558
        2.42   0.0595247  0.00427976
     2.56667   0.0403439  0.00587232
     2.71333   0.0260185   0.0023719
        2.86   0.0130638  0.00218426
     3.00667  0.00876021 3.40019e-05
     3.15333  0.00348801 0.000814691
         3.3  0.00072601 0.000513367
     3.44667 0.000441919 0.000312484
     3.59333  0.00061553 0.000435246
        3.74 0.000665681 0.000470708
     3.88667 0.000461537 0.000326356
     4.03333 4.73485e-05 3.34804e-05
        4.18 6.31313e-05 4.46406e-05
     4.32667 7.89141e-05 5.58007e-05


   0.0733333   0.0126368  0.00174208
        0.22   0.0863742 0.000281284
    0.366667    0.217576  0.00650225
    0.513333    0.381779  0.00854612
        0.66    0.548738   0.0204735
    0.806667    0.674184   0.0162619
    0.953333    0.765222  0.00235095
         1.1    0.761781   0.0150908
     1.24667    0.735953   0.0180862
     1.39333    0.656652  0.00982872
        1.54    0.529407   0.0129871
     1.68667    0.460666   0.0176415
     1.83333    0.349571  0.00955336
        1.98    0.242321   0.0114194
     2.12667    0.156872  0.00274219
     2.27333   0.0955582  0.00765244
        2.42   0.0585489  0.00296233
     2.56667   0.0357869  0.00540095
     2.71333   0.0231011  0.00285909
        2.86    0.012939  0.00145973
     3.00667  0.00726059  0.00122464
     3.15333  0.00318813 0.000595765
         3.3 0.000484007  0.00039519
     3.44667 0.000294613  0.00024055
     3.59333 0.000410354 0.000335052
        3.74 0.000443788 0.000362351
     3.88667 0.000307691 0.000251229
     4.03333 3.15657e-05 2.57733e-05
        4.18 4.20875e-05 3.43643e-05
     4.32667 5.26094e-05 4.29554e-05


   0.0733333    0.011048  0.00189745
        0.22   0.0828993   0.0030167
    0.366667    0.217001  0.00490201
    0.513333    0.387005  0.00784644
        0.66    0.551082   0.0154887
    0.806667    0.672699    0.012264
    0.953333    0.774035  0.00783323
         1.1    0.772369   0.0145667
     1.24667    0.737531   0.0136333
     1.39333     0.65083  0.00893081
        1.54    0.535786    0.011198
     1.68667    0.457376   0.0135344
     1.83333    0.339269   0.0114424
        1.98    0.239751  0.00884916
     2.12667    0.157576  0.00214529
     2.27333   0.0954691  0.00573985
        2.42    0.057477  0.00240788
     2.56667   0.0345422  0.00419168
     2.71333   0.0211216  0.00274535
        2.86   0.0120638  0.00133157
     3.00667  0.00709475 0.000929641
     3.15333  0.00260417 0.000674843
         3.3 0.000363005 0.000314372
     3.44667  0.00022096 0.000191357
     3.59333 0.000307765 0.000266532
        3.74 0.000332841 0.000288248
     3.88667 0.000230769 0.000199851
     4.03333 2.36742e-05 2.05025e-05
        4.18 3.15657e-05 2.73367e-05
     4.32667 3.94571e-05 3.41708e-05


   0.0733333   0.0105429  0.00158375
