#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.93587     2.93587           0
           2     2.35646     2.64616    0.204852
           3     2.14308     2.47847    0.193387
           4     2.08747     2.38072    0.167937
           5     2.08286     2.32115     0.14453
           6     2.02414     2.27165    0.128639
           7     1.97983     2.22996    0.116822
           8     1.98106     2.19885    0.106282
           9     1.98779     2.17539   0.0970253
          10     2.00263     2.15812   0.0888475
          11     2.00605     2.14429    0.081839
          12     1.99657     2.13198   0.0759393
          13     1.97439     2.11986   0.0710588
          14     1.95397     2.10801   0.0669638
          15     1.94953     2.09745   0.0633276
          16     1.92674     2.08678   0.0602617
          17     1.96485      2.0796    0.057142
          18     1.97725     2.07392   0.0542497
          19     1.98182     2.06907   0.0516106
          20     1.96073     2.06365   0.0493135
