#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0702981   0.0702981           0
           2   0.0600866   0.0651923  0.00361031
           3   0.0575295    0.062638  0.00318474
           4   0.0551571   0.0607678  0.00288592
           5   0.0582498   0.0602642  0.00235227
           6   0.0575189   0.0598067  0.00200423
           7    0.054188    0.059004  0.00187175
           8   0.0571129   0.0587676  0.00165264
           9   0.0564561   0.0585108  0.00148884
          10   0.0620322   0.0588629  0.00138097
          11   0.0600067   0.0589669  0.00125934
          12   0.0571851   0.0588184  0.00116311
          13   0.0580214   0.0587571  0.00107526
          14   0.0547948   0.0584741  0.00103503
          15   0.0535358   0.0581449  0.00101704
          16   0.0568375   0.0580631 0.000956751
          17   0.0572615    0.058016 0.000901633
          18   0.0541459    0.057801 0.000876803
          19   0.0558532   0.0576985 0.000836626
          20   0.0524154   0.0574343 0.000835457
