#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59311     1.59311           0
           2     1.59637     1.59474  0.00115249
           3     1.59696     1.59548 0.000977211
           4       1.597     1.59586 0.000803391
           5     1.59699     1.59609 0.000673718
           6     1.59696     1.59623 0.000576948
           7     1.59702     1.59635 0.000505463
           8     1.59693     1.59642 0.000447547
           9     1.59682     1.59646 0.000400001
          10      1.5969     1.59651 0.000362415
          11     1.59685     1.59654 0.000330785
          12     1.59685     1.59656 0.000304243
          13     1.59693     1.59659 0.000282102
          14     1.59703     1.59662 0.000263686
          15     1.59708     1.59665  0.00024783
          16     1.59699     1.59667 0.000233206
          17     1.59696     1.59669 0.000220089
          18     1.59705     1.59671 0.000208777
          19     1.59698     1.59673 0.000198266
          20     1.59692     1.59674 0.000188588
