# VELOCITY:     AVE_POFV:        ERROR:
   0.0763035  0.00282134           0
     0.22891  0.00700783           0
    0.381517    0.056275           0
    0.534124    0.127992           0
    0.686731    0.209113           0
    0.839338    0.237296           0
    0.991945    0.324696           0
     1.14455    0.408123           0
     1.29716    0.376026           0
     1.44977    0.547643           0
     1.60237    0.640898           0
     1.75498     0.55189           0
     1.90759    0.449654           0
     2.06019    0.525588           0
      2.2128    0.375511           0
     2.36541    0.310893           0
     2.51802     0.33225           0
     2.67062    0.244394           0
     2.82323    0.278766           0
     2.97584    0.118162           0
     3.12844    0.103479           0
     3.28105    0.143615           0
     3.43366    0.110578           0
     3.58626   0.0497223           0
     3.73887 0.000273033           0
     3.89148   0.0159876           0
     4.04408  0.00412582           0
     4.19669           0           0
      4.3493           0           0
     4.50191           0           0
   0.0763035    0.001441 0.000976041
     0.22891  0.00661345 0.000278869
    0.381517   0.0750991   0.0133106
    0.534124     0.13192  0.00277796
    0.686731    0.210584   0.0010404
    0.839338    0.247367  0.00712188
    0.991945    0.318856  0.00412941
     1.14455    0.356292   0.0366498
     1.29716    0.425203   0.0347728
     1.44977    0.465475   0.0581013
     1.60237    0.615658   0.0178476
     1.75498    0.563175  0.00797994
     1.90759    0.468569    0.013375
     2.06019    0.465733   0.0423237
      2.2128    0.385947   0.0073793
     2.36541    0.380289   0.0490702
     2.51802     0.34487  0.00892381
     2.67062    0.270985   0.0188022
     2.82323    0.268937  0.00695027
     2.97584    0.152959   0.0246048
     3.12844    0.109425  0.00420449
     3.28105    0.131207  0.00877365
     3.43366    0.105724  0.00343223
     3.58626   0.0344779   0.0107794
     3.73887 0.000530897 0.000182337
     3.89148  0.00988984  0.00431174
     4.04408  0.00497526 0.000600641
     4.19669 0.000576402 0.000407578
      4.3493           0           0
     4.50191           0           0
   0.0763035   0.0015573 0.000657586
     0.22891   0.0100618  0.00282166
    0.381517   0.0758424  0.00889448
    0.534124    0.143018  0.00924901
    0.686731    0.186946   0.0193124
    0.839338    0.240076  0.00761457
    0.991945    0.326921  0.00713701
     1.14455    0.368826     0.02649
     1.29716    0.462204   0.0380804
     1.44977    0.471952   0.0390935
     1.60237    0.547238   0.0571177
     1.75498    0.538329   0.0209726
     1.90759    0.504736   0.0308468
     2.06019    0.478666   0.0301273
      2.2128    0.400508   0.0128672
     2.36541    0.374995   0.0329978
     2.51802    0.333595   0.0109612
     2.67062     0.28538   0.0171832
     2.82323    0.243788   0.0210506
     2.97584    0.162626   0.0182036
     3.12844    0.112135  0.00357116
     3.28105    0.122743  0.00905382
     3.43366   0.0918906   0.0115246
     3.58626   0.0368189   0.0074361
     3.73887  0.00669435  0.00503391
     3.89148   0.0125494  0.00360252
     4.04408  0.00733143  0.00196504
     4.19669   0.0041865  0.00296013
      4.3493  0.00116292 0.000949517
     4.50191           0           0
   0.0763035   0.0018278 0.000545999
     0.22891   0.0167157  0.00613875
    0.381517   0.0751143  0.00670059
    0.534124    0.157032   0.0139784
    0.686731    0.184107   0.0146915
    0.839338     0.21559   0.0219619
    0.991945    0.302596   0.0217356
     1.14455    0.394047   0.0295255
     1.29716    0.457094    0.028901
     1.44977    0.479953   0.0301279
     1.60237    0.570198    0.047228
     1.75498    0.551829   0.0195985
     1.90759    0.530889   0.0323762
     2.06019    0.482251   0.0228077
      2.2128    0.381222   0.0192902
     2.36541    0.361002    0.027556
     2.51802    0.287867   0.0404458
     2.67062    0.266252   0.0209876
     2.82323    0.245358   0.0158464
     2.97584    0.179875   0.0202372
     3.12844    0.117942  0.00569777
     3.28105    0.134848   0.0124899
     3.43366   0.0815685   0.0124346
     3.58626   0.0380653  0.00568056
     3.73887  0.00980642  0.00463871
     3.89148   0.0151078  0.00349419
     4.04408  0.00812272  0.00162531
     4.19669  0.00453537  0.00224056
      4.3493  0.00196432 0.000994396
     4.50191           0           0
   0.0763035  0.00231168 0.000614899
     0.22891   0.0190031  0.00532013
    0.381517   0.0749141  0.00536347
    0.534124    0.150938     0.01244
    0.686731    0.170524    0.016904
    0.839338    0.232442   0.0231492
    0.991945    0.298679   0.0177378
     1.14455    0.396122   0.0236932
     1.29716    0.447082   0.0247946
     1.44977    0.490591   0.0259123
