#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.363849   -0.363849           0
           2   -0.384845   -0.374347  0.00742335
           3    -0.38016   -0.376285  0.00519564
           4   -0.367844   -0.374175  0.00430395
           5   -0.329744   -0.365289  0.00866183
           6   -0.352417   -0.363143  0.00747912
           7   -0.357642   -0.362357  0.00645184
           8   -0.371806   -0.363538  0.00575244
           9   -0.420914   -0.369914  0.00789121
          10   -0.375439   -0.370466   0.0071214
          11   -0.412021   -0.374244  0.00740857
          12   -0.416988   -0.377806   0.0075994
          13   -0.431087   -0.381904  0.00804448
          14   -0.416226   -0.384356  0.00783454
          15   -0.417393   -0.386558  0.00761554
          16    -0.40686   -0.387827   0.0072445
          17    -0.42833    -0.39021  0.00719948
          18   -0.456936   -0.393917  0.00769493
          19    -0.40785    -0.39465   0.0073248
          20   -0.398081   -0.394822  0.00696056
