#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.30715     1.30715           0
           2     1.32121     1.31418  0.00497067
           3     1.31816     1.31551  0.00348635
           4      1.3099     1.31411  0.00288281
           5     1.28449     1.30819  0.00577804
           6     1.29966     1.30676  0.00498662
           7     1.30309     1.30624  0.00430172
           8     1.31245     1.30702   0.0038335
           9     1.34522     1.31126  0.00525624
          10      1.3149     1.31163  0.00474323
          11     1.33929     1.31414  0.00493401
          12     1.34259     1.31651  0.00506052
          13     1.35201     1.31924  0.00535771
          14     1.34203     1.32087  0.00521645
          15     1.34284     1.32234  0.00507018
          16     1.33587     1.32318   0.0048233
          17     1.35006     1.32476  0.00479168
          18     1.36907     1.32722  0.00511877
          19     1.33651     1.32771  0.00487262
          20     1.33002     1.32783  0.00463035
