#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.34275    -1.34275           0
           2   -0.760086    -1.05142    0.206004
           3   -0.546116   -0.882985    0.194357
           4   -0.490468   -0.784856    0.168731
           5   -0.485866   -0.725058    0.145195
           6   -0.427183   -0.675412    0.129205
           7   -0.382808   -0.633612    0.117314
           8   -0.384124   -0.602426    0.106715
           9   -0.390969    -0.57893   0.0974095
          10   -0.405728    -0.56161   0.0891951
          11   -0.409197   -0.547754   0.0821556
          12   -0.399717   -0.535418   0.0762299
          13   -0.377467   -0.523268   0.0713278
          14   -0.356943   -0.511388   0.0672151
          15   -0.352449   -0.500792   0.0635637
          16   -0.329752   -0.490102   0.0604832
          17   -0.367895   -0.482913    0.057351
          18   -0.380192   -0.477206    0.054448
          19   -0.384839   -0.472345   0.0517989
          20   -0.363811   -0.466918   0.0494924
