#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.95724     1.95724           0
           2     1.57097     1.76411    0.136568
           3     1.42872     1.65231    0.128925
           4     1.39165     1.58715    0.111958
           5     1.38857     1.54743   0.0963533
           6     1.34943     1.51443   0.0857596
           7     1.31989     1.48664   0.0778813
           8      1.3207      1.4659   0.0708544
           9     1.32519     1.45026   0.0646835
          10     1.33509     1.43875   0.0592317
          11     1.33736     1.42953   0.0545593
          12     1.33105     1.42132   0.0506262
          13     1.31626     1.41324   0.0473725
          14     1.30265     1.40534   0.0446425
          15     1.29968      1.3983   0.0422184
          16     1.28449     1.39118   0.0401744
          17      1.3099      1.3864   0.0380947
          18     1.31816     1.38261   0.0361665
          19     1.32121     1.37938    0.034407
          20     1.30715     1.37577   0.0328757
