#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.086086   -0.086086           0
           2   -0.226418   -0.156252   0.0496149
           3    -0.45616   -0.256221   0.0880718
           4   -0.490778   -0.314861   0.0833188
           5    0.126074   -0.226674    0.103269
           6    -0.10685   -0.206703   0.0879671
           7    0.454202   -0.112288    0.115438
           8    0.337106  -0.0561138    0.113859
           9    0.529898  0.00899867     0.11837
          10    -0.33937  -0.0258382    0.111542
          11    -0.34229  -0.0546065    0.105046
          12    0.453134  -0.0122948    0.104467
          13    0.111634 -0.00276185   0.0968648
          14    0.343552   0.0219749   0.0930509
          15   -0.643242  -0.0223729   0.0968406
          16    0.220948 -0.00716538   0.0919744
          17    0.221064  0.00625988   0.0875384
          18    0.095302   0.0112067   0.0828148
          19   -0.115888  0.00451747   0.0787259
          20   -0.427866  -0.0171017   0.0777013
