#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.420082    0.420082           0
           2    0.386504    0.403293   0.0118715
           3    0.377676    0.394754   0.0105472
           4     0.33673    0.380248   0.0148456
           5    0.384681    0.381134   0.0119029
           6     0.35862    0.377382   0.0104939
           7    0.368381    0.376096  0.00907323
           8    0.287958    0.365079   0.0130091
           9    0.346031    0.362963   0.0117345
          10    0.302289    0.356895   0.0120278
          11    0.343098    0.355641   0.0109996
          12    0.339862    0.354326   0.0101612
          13    0.339354    0.353174  0.00944464
          14    0.329286    0.351468  0.00892282
          15    0.334656    0.350347  0.00839807
          16    0.332174    0.349211  0.00794963
          17     0.30015    0.346325  0.00798869
          18    0.371598    0.347729  0.00766726
          19    0.362232    0.348493  0.00730161
          20    0.306963    0.346416  0.00722577
