#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      66.132      66.132           0
           2     70.8327     68.4823     1.66194
           3        71.8     69.5882      1.4293
           4     77.0295     71.4486     1.93513
           5     68.7042     70.8997     1.62408
           6     75.5051     71.6672     1.52403
           7     79.3049     72.7583     1.65132
           8      84.266     74.1968      1.9744
           9     75.5046     74.3421     1.76036
          10     80.4819     74.9561     1.68801
          11     77.4836     75.1859     1.55011
          12     77.3497     75.3662     1.43138
          13     79.9501     75.7188     1.36402
          14     76.0538     75.7427      1.2668
          15     79.4386     75.9891     1.20607
          16     77.1594     76.0623      1.1329
          17     83.1262     76.4778     1.13992
          18      79.407     76.6405     1.08815
          19     73.4497     76.4726     1.04375
          20     79.7875     76.6383     1.00464
