#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.783912   -0.783912           0
           2   -0.779828    -0.78187  0.00144391
           3   -0.781356   -0.781699  0.00097272
           4   -0.782604   -0.781925 0.000755413
           5   -0.784652    -0.78247 0.000776649
           6    -0.78234   -0.782449 0.000647512
           7   -0.783696   -0.782627  0.00057901
           8   -0.782152   -0.782568 0.000509667
           9   -0.782872   -0.782601 0.000454159
          10   -0.782676   -0.782609 0.000408804
          11   -0.784344   -0.782767 0.000400921
          12   -0.785376   -0.782984 0.000422387
          13   -0.783528   -0.783026 0.000391963
          14   -0.785132   -0.783176 0.000391773
          15   -0.781208   -0.783045 0.000387007
          16   -0.783496   -0.783073 0.000363843
          17   -0.781004   -0.782952 0.000362229
          18    -0.78282   -0.782944 0.000342179
          19   -0.784436   -0.783023 0.000333056
          20   -0.780224   -0.782883 0.000344549
