#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.100046    0.100046           0
           2    0.085038    0.092542  0.00530613
           3      0.0836   0.0895613  0.00429375
           4    0.075666   0.0860875  0.00440693
           5    0.076556   0.0841812   0.0039162
           6    0.072938   0.0823073  0.00368464
           7    0.080286   0.0820186  0.00316956
           8     0.09719    0.083915  0.00329218
           9    0.081848   0.0836853  0.00293438
          10    0.076196   0.0829364  0.00273485
          11    0.068844   0.0816553  0.00277009
          12    0.084512   0.0818933  0.00254946
          13     0.08615   0.0822208  0.00237428
          14    0.096506   0.0832411  0.00241401
          15    0.067042   0.0821612  0.00248292
          16    0.086194   0.0824132  0.00234049
          17    0.072194   0.0818121  0.00227871
          18    0.073304   0.0813394  0.00220059
          19    0.079226   0.0812282  0.00208758
          20    0.075682   0.0809509  0.00200153
