#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.317051    0.317051           0
           2    0.314809     0.31593  0.00079265
           3    0.314137    0.315332 0.000719364
           4    0.310165     0.31404  0.00124203
           5    0.317076    0.314647  0.00113229
           6    0.315912    0.314858 0.000962997
           7    0.315375    0.314932 0.000828246
           8    0.324325    0.316106  0.00131583
           9    0.320507    0.316595  0.00125723
          10     0.31478    0.316414  0.00114454
          11    0.316908    0.316459  0.00104137
          12    0.313288    0.316194 0.000987542
          13    0.314127    0.316035 0.000924294
          14    0.319306    0.316269 0.000887314
          15    0.320405    0.316545 0.000869945
          16    0.316397    0.316535 0.000815623
          17    0.319309    0.316699 0.000783796
          18    0.319904    0.316877 0.000760217
          19     0.31588    0.316824 0.000722012
          20    0.310142     0.31649 0.000759293
