#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.35008     1.35008           0
           2     1.34464     1.34736  0.00192262
           3     1.34706     1.34726  0.00128447
           4     1.33406     1.34396  0.00301602
           5      1.3275     1.34067  0.00380739
           6     1.34233     1.34094  0.00318289
           7     1.34214     1.34112  0.00273278
           8     1.34055     1.34105   0.0023921
           9     1.37422     1.34473  0.00407415
          10     1.34552     1.34481   0.0036675
          11     1.37213     1.34729  0.00408956
          12     1.37717     1.34978   0.0044425
          13     1.31798     1.34734  0.00472679
          14     1.34745     1.34735  0.00438916
          15     1.33955     1.34683  0.00412719
          16     1.36405      1.3479  0.00400721
          17     1.35895     1.34855  0.00382382
          18     1.38662     1.35067  0.00415517
          19     1.32972     1.34956  0.00408011
          20     1.34769     1.34947  0.00387719
