#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     8.34239     8.34239           0
           2     8.27862     8.31051   0.0225441
           3     8.95555     8.52552    0.176201
           4     8.34537     8.48048    0.137786
           5     8.53278     8.49094    0.110625
           6     9.27941     8.62235    0.151293
           7     9.05464     8.68411    0.141724
           8     8.22792     8.62708    0.134994
           9     8.67502     8.63241    0.120099
          10     9.04163     8.67333     0.11485
          11     8.56229     8.66324    0.104852
          12     8.84719     8.67857   0.0972281
          13     8.75979     8.68482   0.0899495
          14     8.70415      8.6862   0.0835351
          15     9.45972     8.73776   0.0925241
          16     8.57022     8.72729   0.0873319
          17     8.49497     8.71363   0.0832571
          18     8.51338      8.7025   0.0793715
          19     9.13748      8.7254   0.0784262
          20     8.58327     8.71829   0.0748261
