#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.060922    0.060922           0
           2     0.05173    0.056326  0.00324986
           3    0.048914   0.0538553  0.00296032
           4    0.065362    0.056732  0.00333705
           5    0.067032    0.058792  0.00324374
           6    0.061136   0.0591827  0.00272654
           7    0.047972   0.0575811  0.00276771
           8    0.060898   0.0579958   0.0024526
           9    0.061774   0.0584156  0.00221573
          10    0.058448   0.0584188  0.00199416
          11    0.064322   0.0589555   0.0018837
          12    0.054904   0.0586178  0.00175672
          13    0.058004   0.0585706  0.00162222
          14     0.06156   0.0587841  0.00152034
          15    0.050374   0.0582235  0.00151885
          16    0.060952    0.058394  0.00143346
          17    0.054458   0.0581625  0.00136771
          18    0.060352   0.0582841  0.00129713
          19    0.058444   0.0582925  0.00122888
          20    0.058002    0.058278  0.00116752
