#   N_BLOCK:  ACCEPTANCE:
           1    0.469964
           2    0.471404
           3     0.47151
           4    0.471504
           5    0.471633
           6    0.471865
           7    0.471725
           8    0.471744
           9    0.472064
          10    0.472043
          11    0.472048
          12    0.471996
          13     0.47209
          14    0.472056
          15     0.47208
          16     0.47197
          17    0.471927
          18    0.471873
          19    0.471772
          20    0.471729
