#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.249193    0.249193           0
           2    0.247879    0.248536 0.000464554
           3     0.24657    0.247881 0.000618173
           4    0.244806    0.247112 0.000811252
           5    0.247554      0.2472 0.000653789
           6    0.249041    0.247507 0.000612555
           7    0.243066    0.246873  0.00078788
           8     0.25235    0.247557 0.000940969
           9    0.245089    0.247283 0.000875486
          10    0.248635    0.247418 0.000798305
          11    0.247636    0.247438 0.000725977
          12    0.255492    0.248109 0.000925099
          13     0.25082    0.248318 0.000877123
          14    0.252774    0.248636 0.000870315
          15    0.247811    0.248581 0.000814031
          16    0.248967    0.248605 0.000763512
          17    0.244918    0.248388 0.000748775
          18    0.245259    0.248214 0.000727077
          19    0.249913    0.248304 0.000694285
          20    0.249574    0.248367 0.000662469
