#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.494016   -0.494016           0
           2   -0.493524    -0.49377 0.000173948
           3    -0.49232   -0.493287 0.000411326
           4   -0.495612   -0.493868 0.000590449
           5   -0.493784   -0.493851 0.000472598
           6   -0.491464   -0.493453 0.000535741
           7   -0.494876   -0.493657 0.000496262
           8   -0.493748   -0.493668  0.00043436
           9      -0.494   -0.493705 0.000387661
          10    -0.49194   -0.493528  0.00038699
          11   -0.493444   -0.493521 0.000351885
          12   -0.493972   -0.493558 0.000324565
          13   -0.492344   -0.493465 0.000312751
          14   -0.494076   -0.493509 0.000293442
          15   -0.491796   -0.493394 0.000295256
          16   -0.493484     -0.4934 0.000276855
          17   -0.494188   -0.493446 0.000264422
          18    -0.49308   -0.493426 0.000250514
          19    -0.49462   -0.493489 0.000245084
          20   -0.492924   -0.493461 0.000234451
