# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00119217           0
    0.910562   0.0227789           0
    0.936212     0.15698           0
    0.961861    0.556174           0
    0.987511     1.17253           0
     1.01316     1.84933           0
     1.03881     2.31196           0
     1.06446     2.54473           0
     1.09011     2.55358           0
     1.11576     2.42793           0
     1.14141     2.21763           0
     1.16706     1.99011           0
     1.19271      1.7735           0
     1.21836      1.5735           0
     1.24401     1.40123           0
     1.26966     1.24776           0
     1.29531     1.13951           0
     1.32096     1.02638           0
     1.34661    0.953528           0
     1.37226    0.877549           0
     1.39791    0.818594           0
     1.42355    0.780396           0
      1.4492    0.737162           0
     1.47485    0.711668           0
      1.5005    0.688163           0
     1.52615    0.672482           0
      1.5518    0.670983           0
     1.57745     0.66253           0
      1.6031    0.666211           0
     1.62875    0.673746           0
      1.6544    0.696249           0
     1.68005    0.706405           0
      1.7057    0.743368           0
     1.73135    0.768918           0
       1.757    0.805931           0
     1.78265    0.842024           0
      1.8083    0.890833           0
     1.83395    0.925064           0
      1.8596    0.973965           0
     1.88525     1.01564           0
      1.9109     1.05346           0
     1.93655     1.09646           0
      1.9622     1.14289           0
     1.98785     1.16921           0
      2.0135     1.18846           0
     2.03915     1.20527           0
      2.0648     1.22302           0
     2.09045     1.22141           0
      2.1161     1.21242           0
     2.14174      1.2052           0
     2.16739     1.18699           0
     2.19304     1.15551           0
     2.21869     1.12952           0
     2.24434     1.10557           0
     2.26999     1.06602           0
     2.29564     1.04613           0
     2.32129     1.02092           0
     2.34694    0.987549           0
     2.37259    0.967596           0
     2.39824    0.947002           0
     2.42389    0.931258           0
     2.44954    0.920447           0
     2.47519    0.906463           0
     2.50084     0.89557           0
     2.52649    0.880374           0
     2.55214    0.878651           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00119217           0
    0.910562   0.0233275 0.000387877
    0.936212    0.166184  0.00650794
    0.961861    0.565566  0.00664117
    0.987511     1.19452   0.0155521
     1.01316     1.86152  0.00862404
     1.03881     2.33192    0.014109
     1.06446      2.5448  5.2285e-05
     1.09011     2.54807   0.0038957
     1.11576     2.41064   0.0122301
     1.14141     2.21094  0.00472922
     1.16706     1.97759  0.00885464
     1.19271     1.76252  0.00776398
     1.21836     1.55259   0.0147898
     1.24401     1.39209  0.00645873
     1.26966     1.23895  0.00622667
     1.29531     1.13466  0.00343011
     1.32096     1.02826  0.00132898
     1.34661    0.943567  0.00704294
     1.37226    0.875287  0.00160002
     1.39791    0.817792 0.000567365
     1.42355    0.777632  0.00195454
      1.4492    0.738416 0.000886565
     1.47485    0.714139  0.00174701
      1.5005     0.69047  0.00163141
     1.52615      0.6787  0.00439681
      1.5518    0.671634 0.000460412
     1.57745    0.668739  0.00439099
      1.6031    0.669303  0.00218673
     1.62875    0.681813  0.00570437
      1.6544    0.698886   0.0018646
     1.68005    0.717846  0.00808998
      1.7057    0.750184  0.00482023
     1.73135    0.775319    0.004526
       1.757     0.81011  0.00295547
     1.78265    0.847354  0.00376856
      1.8083     0.89359  0.00194897
     1.83395    0.933894  0.00624315
      1.8596    0.976263  0.00162511
     1.88525     1.02145  0.00410537
      1.9109     1.05907   0.0039704
     1.93655      1.0977 0.000873388
      1.9622     1.13331  0.00677266
     1.98785     1.16513  0.00288506
      2.0135      1.1856   0.0020229
     2.03915     1.20239  0.00203543
      2.0648      1.2128  0.00722406
     2.09045     1.21551  0.00416984
      2.1161     1.20764  0.00338138
     2.14174     1.19533  0.00697814
     2.16739     1.17702  0.00705538
     2.19304     1.14731  0.00579849
     2.21869      1.1234  0.00432755
     2.24434     1.09692  0.00611949
     2.26999     1.06619 0.000119902
     2.29564     1.04242  0.00262742
     2.32129     1.01815   0.0019571
     2.34694    0.989598  0.00144898
     2.37259     0.96968  0.00147345
     2.39824     0.95005  0.00215579
     2.42389    0.933104  0.00130514
     2.44954    0.921114 0.000471121
     2.47519    0.910216  0.00265378
     2.50084      0.8965 0.000657688
     2.52649    0.886715  0.00448429
     2.55214    0.884271   0.0039736
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00120236 8.31967e-06
    0.910562   0.0231157 0.000311045
    0.936212    0.166466  0.00434474
    0.961861    0.566679  0.00451968
    0.987511     1.20363   0.0127588
     1.01316     1.86729   0.0074319
     1.03881     2.33483  0.00970136
     1.06446     2.54389 0.000751166
     1.09011     2.54455  0.00387478
     1.11576     2.40849   0.0083403
     1.14141     2.20765  0.00414146
     1.16706     1.97655  0.00596452
     1.19271     1.75931  0.00580013
     1.21836     1.55586   0.0102146
     1.24401       1.391  0.00439692
     1.26966     1.23662  0.00456677
     1.29531     1.12834  0.00564458
     1.32096     1.02466  0.00306556
     1.34661    0.942571  0.00476529
     1.37226    0.868604  0.00555944
     1.39791    0.816687 0.000977962
     1.42355    0.776451  0.00162115
      1.4492    0.739616  0.00114468
     1.47485    0.714955  0.00134187
      1.5005    0.693698   0.0028517
     1.52615    0.678525  0.00293468
      1.5518    0.671315 0.000402962
     1.57745    0.671807  0.00385242
      1.6031    0.670095  0.00159473
     1.62875     0.68421  0.00427709
      1.6544    0.699765  0.00143537
     1.68005    0.720328  0.00576153
      1.7057    0.750276  0.00321436
     1.73135    0.777679  0.00358007
       1.757    0.812245   0.0026308
     1.78265    0.848593  0.00270845
      1.8083     0.89252  0.00156575
     1.83395    0.934749  0.00422028
      1.8596    0.975744  0.00116338
     1.88525     1.02231  0.00282644
      1.9109     1.05893  0.00264928
     1.93655     1.09694 0.000848803
      1.9622     1.13444  0.00460816
     1.98785     1.16284  0.00268067
      2.0135     1.18822  0.00253339
     2.03915     1.20647   0.0035984
      2.0648     1.21403  0.00492005
     2.09045     1.21463  0.00287146
      2.1161     1.20783  0.00225977
     2.14174     1.19568  0.00466067
     2.16739      1.1743  0.00520078
     2.19304     1.14931  0.00419645
     2.21869     1.12353   0.0028871
     2.24434     1.09412  0.00467752
     2.26999      1.0645  0.00137735
     2.29564     1.04143  0.00192767
     2.32129     1.01325  0.00420378
     2.34694    0.986791  0.00248703
     2.37259    0.968495  0.00137882
     2.39824    0.947909  0.00226332
     2.42389    0.932252  0.00111378
     2.44954    0.921015 0.000324196
     2.47519    0.908328  0.00234652
     2.50084     0.89616 0.000519241
     2.52649    0.886602  0.00299097
     2.55214    0.883949   0.0026621
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00123802 3.15092e-05
    0.910562   0.0233708 0.000321246
    0.936212    0.166464  0.00325856
    0.961861    0.570139  0.00452461
    0.987511     1.20472  0.00961574
     1.01316     1.87259  0.00722235
     1.03881     2.34194   0.0095325
     1.06446      2.5446 0.000839257
     1.09011     2.54526  0.00297074
     1.11576     2.40895  0.00626807
     1.14141      2.2105  0.00396871
     1.16706     1.97699  0.00448955
     1.19271     1.75724  0.00470632
     1.21836     1.55733    0.007767
     1.24401     1.38749  0.00448572
     1.26966     1.23914  0.00405988
     1.29531     1.12673   0.0044558
     1.32096     1.02329  0.00258936
     1.34661    0.942125  0.00359474
     1.37226    0.865241  0.00508625
     1.39791    0.817351 0.000931771
     1.42355     0.77268   0.0034849
      1.4492    0.737179  0.00227867
     1.47485    0.712279  0.00252664
      1.5005     0.68997  0.00387294
     1.52615    0.676547  0.00278929
      1.5518    0.669726   0.0014088
     1.57745     0.67209  0.00289969
      1.6031    0.670014  0.00119813
     1.62875    0.684622  0.00322754
      1.6544    0.699542  0.00109372
     1.68005    0.724253  0.00549803
      1.7057    0.750814  0.00245531
     1.73135    0.778399  0.00275664
       1.757    0.815092    0.003158
     1.78265    0.850239  0.00248157
      1.8083    0.894344  0.00196837
     1.83395    0.935011  0.00317334
      1.8596    0.977793  0.00197743
     1.88525     1.02305  0.00221383
      1.9109     1.05912  0.00199369
     1.93655     1.09656  0.00071529
      1.9622     1.13633   0.0038253
     1.98785     1.16407  0.00227333
      2.0135     1.18963  0.00225686
     2.03915     1.20729  0.00278917
      2.0648     1.21505  0.00379468
     2.09045     1.21538  0.00224794
      2.1161     1.20878  0.00188322
     2.14174     1.19477  0.00358172
     2.16739     1.17299  0.00406265
     2.19304     1.14969  0.00316408
     2.21869      1.1217  0.00268443
     2.24434     1.09247  0.00378861
     2.26999     1.06531  0.00124787
     2.29564     1.04013  0.00183134
     2.32129     1.01371  0.00317724
     2.34694    0.985098  0.00237281
     2.37259    0.967857  0.00117257
     2.39824    0.945654   0.0025874
     2.42389    0.930833  0.00148588
     2.44954    0.920653 0.000397008
     2.47519     0.90758   0.0018755
     2.50084    0.895228 0.000896191
     2.52649     0.88596  0.00231109
     2.55214    0.884491  0.00205115
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
