#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.48456    -5.48456           0
           2    -5.45084     -5.4677   0.0119214
           3    -5.45683    -5.46408   0.0084805
           4    -5.45979    -5.46301   0.0064278
           5    -5.44636    -5.45968  0.00594208
           6    -5.47595    -5.46239  0.00553591
           7    -5.48156    -5.46513  0.00538015
           8    -5.48864    -5.46807  0.00545131
           9    -5.46571    -5.46781  0.00485188
          10    -5.47505    -5.46853  0.00442042
          11    -5.46458    -5.46817  0.00403309
          12     -5.4481     -5.4665  0.00402902
          13    -5.46104    -5.46608  0.00374093
          14    -5.46219     -5.4658  0.00348403
          15    -5.45975     -5.4654  0.00327502
          16    -5.46494    -5.46537  0.00307045
          17    -5.46452    -5.46532  0.00289025
          18    -5.47295    -5.46574  0.00276056
          19    -5.47281    -5.46611  0.00264019
          20    -5.46404    -5.46601  0.00251021
          21    -5.46686    -5.46605  0.00239101
          22    -5.45524    -5.46556  0.00233233
          23    -5.49219    -5.46672  0.00250176
          24    -5.46142     -5.4665  0.00240726
          25    -5.46878    -5.46659   0.0023127
          26    -5.45298    -5.46606  0.00228224
          27    -5.44279     -5.4652  0.00235492
          28    -5.49195    -5.46616  0.00245698
          29    -5.46053    -5.46596  0.00237991
          30    -5.46037    -5.46578  0.00230786
          31    -5.45429    -5.46541  0.00226295
          32     -5.4567    -5.46513  0.00220854
          33    -5.46123    -5.46502  0.00214479
          34    -5.46887    -5.46513   0.0020847
          35    -5.45944    -5.46497  0.00203148
          36     -5.4691    -5.46508  0.00197829
          37    -5.46644    -5.46512  0.00192517
          38    -5.46534    -5.46512  0.00187451
          39    -5.45618     -5.4649  0.00184043
          40    -5.47374    -5.46512  0.00180765
          41    -5.44841    -5.46471  0.00180891
          42    -5.47636    -5.46499  0.00178699
          43     -5.4727    -5.46517  0.00175442
          44    -5.46543    -5.46517  0.00171455
          45    -5.46698    -5.46521  0.00167692
          46    -5.46932     -5.4653  0.00164284
          47    -5.45382    -5.46506  0.00162594
          48    -5.46069    -5.46497  0.00159461
          49    -5.46725    -5.46501  0.00156275
          50    -5.46633    -5.46504  0.00153172
