#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.69854     1.69854           0
           2     1.85579     1.77716   0.0555975
           3     1.82876     1.79436   0.0396362
           4     1.85906     1.81054   0.0328616
           5     1.86456     1.82134   0.0280095
           6     1.73194     1.80644   0.0270156
           7     1.71529     1.79342   0.0261066
           8      1.6539     1.77598   0.0280705
           9     1.81613     1.78044   0.0253035
          10     1.74108      1.7765   0.0230772
          11     1.78642     1.77741   0.0209969
          12     1.85717     1.78405    0.020272
          13     1.80872     1.78595   0.0188012
          14     1.79947     1.78692   0.0174831
          15     1.83297     1.78999   0.0165849
          16     1.76971     1.78872   0.0155967
          17     1.77554     1.78794   0.0146985
          18     1.73885     1.78522   0.0141327
          19     1.74357     1.78302   0.0135578
          20     1.76493     1.78212     0.01291
          21     1.77458     1.78176   0.0123003
          22     1.84172     1.78449   0.0120393
          23     1.65092     1.77868   0.0128403
          24     1.81999      1.7804   0.0124202
          25     1.77617     1.78023   0.0119245
          26      1.8444      1.7827   0.0117185
          27     1.89208     1.78675   0.0119643
          28     1.64662     1.78175     0.01254
          29     1.83066     1.78343   0.0122205
          30     1.82634     1.78486   0.0118966
          31     1.81702      1.7859   0.0115579
          32     1.81232     1.78673   0.0112262
          33     1.81069     1.78745   0.0109095
          34     1.77011     1.78694   0.0106005
          35     1.80024     1.78732   0.0103045
          36     1.75237     1.78635   0.0100638
          37     1.75819     1.78559  0.00982059
          38      1.7934      1.7858  0.00956431
          39     1.85706     1.78762    0.009492
          40     1.74197     1.78648  0.00932305
          41      1.8717     1.78856  0.00932448
          42     1.74162     1.78744   0.0091692
          43     1.77629     1.78718  0.00895963
          44     1.76575      1.7867  0.00876922
          45      1.7604     1.78611  0.00859379
          46     1.80188     1.78645   0.0084138
          47     1.84717     1.78775  0.00833338
          48     1.79312     1.78786  0.00816052
          49     1.75536     1.78719  0.00802087
          50     1.75673     1.78659  0.00788357
