#   N_BLOCK:  ACCEPTANCE:
           1     0.50909
           2     0.50698
           3    0.506344
           4    0.506137
           5    0.505852
           6    0.506354
           7    0.506582
           8    0.506961
           9    0.506739
          10     0.50681
          11    0.506809
          12    0.506698
          13    0.506609
          14    0.506551
          15    0.506352
          16    0.506396
          17    0.506408
          18    0.506546
          19    0.506468
          20    0.506502
          21    0.506428
          22    0.506292
          23    0.506427
          24    0.506322
          25    0.506353
          26    0.506257
          27    0.506209
          28    0.506357
          29    0.506383
          30    0.506375
          31    0.506409
          32    0.506399
          33    0.506372
          34    0.506349
          35    0.506342
          36    0.506367
          37    0.506407
          38    0.506396
          39    0.506346
          40    0.506415
          41     0.50636
          42    0.506396
          43     0.50641
          44    0.506456
          45    0.506458
          46    0.506438
          47     0.50639
          48    0.506393
          49    0.506384
          50    0.506405
