# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00119217           0
    0.910562   0.0245111           0
    0.936212    0.163644           0
    0.961861    0.585903           0
    0.987511     1.23517           0
     1.01316     1.88515           0
     1.03881     2.42598           0
     1.06446     2.62379           0
     1.09011     2.58098           0
     1.11576     2.41817           0
     1.14141     2.21601           0
     1.16706     1.97516           0
     1.19271     1.67639           0
     1.21836     1.45833           0
     1.24401     1.30143           0
     1.26966     1.19798           0
     1.29531     1.10104           0
     1.32096     0.99211           0
     1.34661    0.906505           0
     1.37226    0.869325           0
     1.39791    0.823286           0
     1.42355     0.77058           0
      1.4492    0.740912           0
     1.47485    0.721132           0
      1.5005    0.701113           0
     1.52615    0.661814           0
      1.5518    0.658627           0
     1.57745     0.68405           0
      1.6031    0.705985           0
     1.62875    0.695592           0
      1.6544    0.721735           0
     1.68005    0.718541           0
      1.7057    0.750082           0
     1.73135    0.766019           0
       1.757    0.821455           0
     1.78265    0.875832           0
      1.8083    0.905328           0
     1.83395    0.967356           0
      1.8596     1.00958           0
     1.88525     1.04543           0
      1.9109     1.08821           0
     1.93655     1.13288           0
      1.9622     1.14875           0
     1.98785     1.17372           0
      2.0135     1.19093           0
     2.03915     1.21859           0
      2.0648     1.21318           0
     2.09045     1.19937           0
      2.1161     1.18644           0
     2.14174     1.16263           0
     2.16739      1.1474           0
     2.19304     1.13803           0
     2.21869     1.11567           0
     2.24434     1.07158           0
     2.26999     1.05215           0
     2.29564     1.01444           0
     2.32129     1.00318           0
     2.34694    0.966284           0
     2.37259     0.94066           0
     2.39824    0.912897           0
     2.42389    0.898577           0
     2.44954    0.893753           0
     2.47519     0.88763           0
     2.50084    0.893898           0
     2.52649    0.897254           0
     2.55214    0.893478           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00119217           0
    0.910562   0.0256515 0.000806377
    0.936212    0.177163  0.00955914
    0.961861    0.591232  0.00376882
    0.987511     1.24692  0.00830544
     1.01316     1.87646  0.00614236
     1.03881     2.36976   0.0397545
     1.06446     2.59851    0.017874
     1.09011     2.55898   0.0155543
     1.11576     2.41009  0.00571055
     1.14141     2.19162   0.0172474
     1.16706     1.97497 0.000130489
     1.19271     1.71624   0.0281823
     1.21836     1.49546   0.0262556
     1.24401     1.33303   0.0223458
     1.26966     1.20356  0.00394286
     1.29531     1.10359  0.00180081
     1.32096    0.997124  0.00354557
     1.34661    0.913489  0.00493799
     1.37226    0.878293  0.00634166
     1.39791    0.819109  0.00295376
     1.42355    0.776096  0.00390073
      1.4492    0.746833  0.00418701
     1.47485     0.70934  0.00833819
      1.5005    0.689391  0.00828863
     1.52615    0.666516  0.00332486
      1.5518    0.668319  0.00685347
     1.57745    0.685724  0.00118363
      1.6031    0.707648   0.0011757
     1.62875    0.705915  0.00729955
      1.6544    0.726134  0.00311076
     1.68005    0.723295  0.00336133
      1.7057      0.7574  0.00517512
     1.73135    0.779899  0.00981433
       1.757    0.825592  0.00292531
     1.78265    0.862947  0.00911113
      1.8083    0.903443  0.00133296
     1.83395    0.954306  0.00922759
      1.8596     0.97384   0.0252723
     1.88525     1.02168    0.016793
      1.9109     1.07093   0.0122195
     1.93655     1.11713   0.0111374
      1.9622     1.13214   0.0117516
     1.98785     1.16408  0.00681533
      2.0135     1.18421  0.00475351
     2.03915     1.21376  0.00341749
      2.0648     1.21599  0.00198716
     2.09045     1.20569  0.00447391
      2.1161     1.18653 6.42632e-05
     2.14174     1.17468  0.00851879
     2.16739     1.16417   0.0118533
     2.19304     1.14601  0.00564362
     2.21869     1.12133  0.00400088
     2.24434      1.0823  0.00758132
     2.26999     1.05879  0.00469919
     2.29564     1.02688  0.00879446
     2.32129    0.995657  0.00531684
     2.34694    0.975934  0.00682387
     2.37259    0.962631   0.0155359
     2.39824    0.929773   0.0119326
     2.42389    0.907598  0.00637876
     2.44954    0.909911   0.0114254
     2.47519    0.897699  0.00712004
     2.50084    0.907729  0.00978006
     2.52649    0.904961  0.00544957
     2.55214       0.899  0.00390473
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00123293 3.32787e-05
    0.910562   0.0253003 0.000609305
    0.936212    0.173239  0.00713268
    0.961861    0.587576  0.00390225
    0.987511     1.22461   0.0190382
     1.01316     1.86849  0.00768968
     1.03881     2.36819    0.026534
     1.06446     2.58798   0.0146913
     1.09011      2.5629   0.0108526
     1.11576     2.41201  0.00411606
     1.14141      2.2042   0.0154163
     1.16706     1.97759  0.00214233
     1.19271     1.73176   0.0226638
     1.21836     1.52982   0.0330656
     1.24401     1.35054   0.0206507
     1.26966     1.22104   0.0145128
     1.29531     1.10902  0.00459225
     1.32096     1.00283  0.00522663
     1.34661     0.91924  0.00573486
     1.37226    0.874486  0.00524765
     1.39791    0.806332   0.0106164
     1.42355    0.766516  0.00824297
      1.4492    0.741113  0.00544091
     1.47485    0.706804  0.00593212
      1.5005    0.690456  0.00559375
     1.52615    0.679327   0.0106926
      1.5518    0.669883  0.00474408
     1.57745    0.675382  0.00848072
      1.6031    0.695881   0.0096389
     1.62875    0.698239  0.00793498
      1.6544    0.715362  0.00903669
     1.68005    0.724385  0.00241109
      1.7057     0.74831    0.008185
     1.73135    0.772437  0.00894011
       1.757    0.824676   0.0020888
     1.78265    0.854504  0.00918799
      1.8083    0.896234  0.00595341
     1.83395    0.948028  0.00800784
      1.8596    0.973155   0.0168575
     1.88525     1.02693   0.0119863
      1.9109     1.07423  0.00858029
     1.93655     1.11446  0.00773769
      1.9622     1.13472  0.00811447
     1.98785     1.17011  0.00669945
      2.0135     1.19009  0.00575531
     2.03915     1.21248  0.00250692
      2.0648     1.21603  0.00132504
     2.09045     1.20821  0.00362426
      2.1161     1.20321   0.0136217
     2.14174     1.18758   0.0119662
     2.16739     1.17498   0.0118516
     2.19304     1.15055  0.00527903
     2.21869     1.12181  0.00269655
     2.24434      1.0888  0.00732965
     2.26999     1.06259  0.00440975
     2.29564     1.02703  0.00586423
     2.32129    0.996728  0.00365092
     2.34694    0.970492  0.00635917
     2.37259    0.956728   0.0114239
     2.39824    0.930925  0.00801052
     2.42389    0.907426   0.0042548
     2.44954    0.904121  0.00896487
     2.47519    0.899272  0.00491746
     2.50084    0.904782  0.00694977
     2.52649    0.903801  0.00375449
     2.55214     0.89618   0.0034751
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00128387  5.0692e-05
    0.910562    0.024208  0.00105053
    0.936212    0.168813  0.00658127
    0.961861    0.584486   0.0039655
    0.987511     1.23684   0.0177762
     1.01316     1.87202  0.00652702
     1.03881     2.35809   0.0217387
     1.06446     2.57242   0.0174111
     1.09011     2.54858   0.0148381
     1.11576     2.40331  0.00814173
     1.14141     2.20804    0.012031
     1.16706     1.97762  0.00160687
     1.19271     1.73165   0.0169981
     1.21836     1.53232   0.0248941
     1.24401     1.35155   0.0155128
     1.26966     1.22024   0.0109067
     1.29531     1.11109  0.00388373
     1.32096    0.995457  0.00749475
     1.34661    0.917997  0.00443383
     1.37226    0.863045   0.0106612
     1.39791    0.810151  0.00862186
     1.42355    0.774959  0.00957514
      1.4492    0.749269  0.00815757
     1.47485     0.71289  0.00689727
      1.5005    0.694792  0.00563047
     1.52615    0.689312   0.0117934
      1.5518    0.678931  0.00860561
     1.57745    0.681161  0.00809362
      1.6031    0.698296  0.00752541
     1.62875    0.702195  0.00686698
      1.6544    0.718529  0.00731161
     1.68005    0.731907  0.00676116
      1.7057    0.751844  0.00685961
     1.73135    0.776053  0.00740043
       1.757    0.825074   0.0016042
     1.78265    0.854495    0.006891
      1.8083     0.89337  0.00510755
     1.83395    0.937958   0.0105888
      1.8596    0.962647   0.0155778
     1.88525     1.01222   0.0155938
      1.9109     1.05709   0.0161777
     1.93655     1.11091  0.00656868
      1.9622     1.13833   0.0068414
     1.98785     1.16649  0.00592456
      2.0135     1.19054  0.00433395
     2.03915     1.21339  0.00203758
      2.0648     1.21603 0.000993783
     2.09045     1.21115  0.00372271
      2.1161     1.20359   0.0102215
     2.14174     1.19031  0.00928233
     2.16739     1.17421  0.00891377
     2.19304     1.14933  0.00409789
     2.21869      1.1181  0.00379801
     2.24434      1.0849  0.00645111
     2.26999     1.05903  0.00452314
     2.29564     1.02735  0.00440717
     2.32129    0.999413   0.0035922
     2.34694     0.97137  0.00482955
     2.37259    0.957618  0.00860247
     2.39824     0.93869  0.00901763
     2.42389    0.913634  0.00625163
     2.44954    0.907648  0.00738499
     2.47519    0.901545  0.00418032
     2.50084    0.906434  0.00540509
     2.52649    0.902546  0.00301808
     2.55214    0.899036   0.0035933
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
