#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.65662     1.65662           0
           2     1.64861     1.65261  0.00283275
           3     1.69675     1.66733   0.0121613
           4     1.66475     1.66668  0.00913797
           5     1.64218     1.66178  0.00852355
           6     1.67288     1.66363  0.00730076
           7      1.6875     1.66704  0.00700918
           8     1.67039     1.66746  0.00614554
           9      1.6557     1.66616  0.00559991
          10     1.66766     1.66631  0.00504194
          11     1.67106     1.66674  0.00460205
          12      1.6737     1.66732    0.004255
          13     1.66525     1.66716  0.00393065
          14     1.64813      1.6658  0.00387772
          15      1.6622     1.66556  0.00362663
          16     1.66783      1.6657  0.00340275
          17     1.68492     1.66683  0.00338517
          18     1.65356      1.6661   0.0032764
          19     1.68239     1.66695  0.00321422
          20     1.66008     1.66661   0.0030718
          21     1.64282     1.66548  0.00312743
          22     1.67448     1.66589  0.00301193
          23     1.67955     1.66648  0.00293901
          24     1.66817     1.66655   0.0028174
          25      1.6779       1.667  0.00274102
          26     1.65441     1.66652  0.00267809
          27        1.67     1.66665  0.00258201
          28     1.66649     1.66664   0.0024898
          29     1.66881     1.66672  0.00240507
          30     1.67763     1.66708  0.00235222
          31     1.67729     1.66741  0.00229929
          32     1.67111     1.66753  0.00223033
          33     1.65767     1.66723  0.00218267
          34     1.66334     1.66711  0.00212147
          35      1.6904     1.66778  0.00216269
          36     1.67174     1.66789  0.00210541
          37      1.6532     1.66749  0.00208559
          38     1.68624     1.66799  0.00208826
          39     1.65831     1.66774   0.0020494
          40     1.66812     1.66775  0.00199819
          41     1.66794     1.66775  0.00194946
          42     1.66951     1.66779  0.00190349
          43     1.67158     1.66788  0.00186125
          44     1.66613     1.66784  0.00181938
          45     1.65894     1.66764  0.00178966
          46      1.6856     1.66803   0.0017928
          47     1.66151      1.6679  0.00176002
          48     1.67455     1.66803  0.00172881
          49     1.65671      1.6678   0.0017089
          50     1.67679     1.66798  0.00168415
