#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.43149    -5.43149           0
           2    -5.42558    -5.42854  0.00208919
           3    -5.47353    -5.44354   0.0123255
           4    -5.44118    -5.44295  0.00925818
           5    -5.41724    -5.43781  0.00871789
           6    -5.44924    -5.43971  0.00747036
           7    -5.46413     -5.4432  0.00717143
           8    -5.44751    -5.44374  0.00629525
           9    -5.43261     -5.4425  0.00571593
          10    -5.44367    -5.44262  0.00514552
          11     -5.4473    -5.44304  0.00469533
          12    -5.45164    -5.44376  0.00435835
          13    -5.44226    -5.44365  0.00402463
          14    -5.42365    -5.44222  0.00398259
          15    -5.43698    -5.44187  0.00373236
          16    -5.44341    -5.44196  0.00350033
          17    -5.46276    -5.44319  0.00350164
          18    -5.43007    -5.44246   0.0033821
          19    -5.45996    -5.44338  0.00332723
          20    -5.43746    -5.44308  0.00317399
          21    -5.41729    -5.44186  0.00325188
          22    -5.45199    -5.44232   0.0031365
          23    -5.45661    -5.44294  0.00306107
          24    -5.44476    -5.44301  0.00293447
          25    -5.45427    -5.44346  0.00285142
          26    -5.43147      -5.443  0.00277882
          27    -5.44779    -5.44318  0.00268155
          28    -5.44435    -5.44322  0.00258611
          29    -5.44521    -5.44329  0.00249784
          30    -5.45535    -5.44369  0.00244671
          31    -5.45403    -5.44403   0.0023904
          32    -5.44645     -5.4441   0.0023169
          33    -5.43344    -5.44378  0.00226913
          34    -5.44043    -5.44368  0.00220453
          35    -5.46663    -5.44434  0.00223694
          36    -5.45046    -5.44451  0.00218127
          37    -5.43025    -5.44412  0.00215609
          38    -5.46415    -5.44465  0.00216285
          39    -5.43575    -5.44442  0.00211938
          40    -5.44469    -5.44443  0.00206641
          41    -5.44572    -5.44446  0.00201625
          42    -5.44511    -5.44447   0.0019683
          43    -5.44958    -5.44459  0.00192611
          44    -5.44304    -5.44456  0.00188266
          45    -5.43456    -5.44433  0.00185388
          46    -5.46261    -5.44473  0.00185567
          47    -5.43739    -5.44458  0.00182274
          48     -5.4505     -5.4447  0.00178893
          49    -5.43289    -5.44446  0.00176858
          50    -5.45203    -5.44461  0.00173967
