#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.27318     2.27318           0
           2     2.26342      2.2683  0.00345057
           3     2.12943     2.22201   0.0378667
           4     2.15325     2.20482   0.0320652
           5     2.35023      2.2339    0.036533
           6     2.14897     2.21975    0.033073
           7     2.11868     2.20531   0.0313418
           8     2.14757     2.19809   0.0282429
           9     2.22346     2.20091    0.025245
          10     2.24055     2.20487   0.0230296
          11     2.20006     2.20444   0.0209401
          12     2.10038     2.19577   0.0209137
          13     2.18343     2.19482   0.0193265
          14     2.27716      2.2007   0.0188197
          15     2.27632     2.20574   0.0182279
          16     2.18156     2.20423   0.0171511
          17     2.11504     2.19898   0.0169258
          18     2.21154     2.19968   0.0159998
          19     2.09484     2.19416   0.0160811
          20     2.22489      2.1957   0.0153503
          21     2.36723     2.20387   0.0166513
          22     2.09688       2.199   0.0165893
          23     2.11512     2.19536    0.016264
          24     2.19335     2.19527   0.0155866
          25     2.13964     2.19305   0.0151211
          26     2.27356     2.19614   0.0148532
          27     2.18387     2.19569   0.0143101
          28     2.15851     2.19436   0.0138605
          29     2.24975     2.19627   0.0135135
          30     2.08633     2.19261   0.0135508
          31     2.19795     2.19278   0.0131148
          32     2.22318     2.19373   0.0127393
          33     2.25974     2.19573   0.0125093
          34     2.21628     2.19633    0.012156
          35     2.08639     2.19319   0.0122078
          36     2.12347     2.19126   0.0120213
          37     2.23469     2.19243   0.0117536
          38     2.02867     2.18812   0.0122088
          39     2.16236     2.18746   0.0119136
          40     2.16808     2.18698   0.0116256
          41     2.17313     2.18664   0.0113469
          42     2.20141     2.18699   0.0110822
          43     2.14186     2.18594   0.0108741
          44     2.21574     2.18662    0.010648
          45     2.23579     2.18771   0.0104673
          46     2.10165     2.18584   0.0104056
          47     2.26614     2.18755   0.0103235
          48     2.22996     2.18843   0.0101462
          49     2.21977     2.18907  0.00995926
          50     2.13813     2.18805  0.00981205
