#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.10441     1.10441           0
           2     1.09907     1.10174   0.0018885
           3     1.13117     1.11155  0.00810753
           4     1.10984     1.11112  0.00609198
           5     1.09479     1.10786  0.00568236
           6     1.11525     1.10909  0.00486718
           7       1.125     1.11136  0.00467279
           8      1.1136     1.11164  0.00409703
           9      1.1038     1.11077  0.00373328
          10     1.11177     1.11087   0.0033613
          11     1.11404     1.11116  0.00306803
          12      1.1158     1.11155  0.00283667
          13     1.11017     1.11144  0.00262043
          14     1.09876     1.11053  0.00258515
          15     1.10813     1.11037  0.00241775
          16     1.11189     1.11047   0.0022685
          17     1.12328     1.11122  0.00225678
          18     1.10238     1.11073  0.00218427
          19     1.12159      1.1113  0.00214281
          20     1.10672     1.11107  0.00204787
          21     1.09521     1.11032  0.00208495
          22     1.11632     1.11059  0.00200795
          23      1.1197     1.11099  0.00195934
          24     1.11212     1.11103  0.00187826
          25      1.1186     1.11134  0.00182735
          26     1.10294     1.11101   0.0017854
          27     1.11334      1.1111  0.00172134
          28     1.11099      1.1111  0.00165987
          29     1.11254     1.11115  0.00160338
          30     1.11842     1.11139  0.00156815
          31      1.1182     1.11161  0.00153286
          32     1.11407     1.11168  0.00148689
          33     1.10511     1.11149  0.00145511
          34     1.10889     1.11141  0.00141431
          35     1.12694     1.11185   0.0014418
          36     1.11449     1.11193  0.00140361
          37     1.10213     1.11166  0.00139039
          38     1.12416     1.11199  0.00139217
          39     1.10554     1.11182  0.00136627
          40     1.11208     1.11183  0.00133212
          41     1.11196     1.11183  0.00129964
          42     1.11301     1.11186  0.00126899
          43     1.11438     1.11192  0.00124084
          44     1.11076     1.11189  0.00121292
          45     1.10596     1.11176  0.00119311
          46     1.12373     1.11202   0.0011952
          47     1.10767     1.11193  0.00117335
          48     1.11637     1.11202  0.00115254
          49     1.10447     1.11187  0.00113927
          50     1.11786     1.11199  0.00112277
