#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.77487    -3.77487           0
           2    -3.77697    -3.77592 0.000743562
           3    -3.77678    -3.77621 0.000547657
           4    -3.77643    -3.77626 0.000413492
           5    -3.77506    -3.77602 0.000394802
           6    -3.77636    -3.77608 0.000333084
           7    -3.77662    -3.77616 0.000294452
           8    -3.77712    -3.77628 0.000281187
           9    -3.77691    -3.77635 0.000258563
          10    -3.77601    -3.77631 0.000234923
          11    -3.77625    -3.77631 0.000213649
          12    -3.77794    -3.77644 0.000235084
          13      -3.777    -3.77649 0.000220884
          14    -3.77551    -3.77642 0.000215738
          15    -3.77478    -3.77631 0.000227276
          16    -3.77558    -3.77626 0.000217582
          17    -3.77784    -3.77635 0.000223663
          18    -3.77651    -3.77636 0.000211395
          19    -3.77758    -3.77643  0.00020968
          20    -3.77738    -3.77647 0.000204544
          21    -3.77447    -3.77638 0.000216008
          22    -3.77751    -3.77643 0.000212183
          23    -3.77706    -3.77646 0.000204693
          24    -3.77658    -3.77646  0.00019623
          25    -3.77637    -3.77646 0.000188416
          26    -3.77706    -3.77648 0.000182601
          27    -3.77779    -3.77653 0.000182124
          28    -3.77786    -3.77658 0.000181698
          29     -3.7764    -3.77657  0.00017554
          30    -3.77772    -3.77661 0.000173837
          31    -3.77674    -3.77661 0.000168278
          32    -3.77535    -3.77657 0.000167627
          33    -3.77577    -3.77655 0.000164316
          34    -3.77709    -3.77657 0.000160238
          35    -3.77623    -3.77656 0.000155952
          36    -3.77873    -3.77662 0.000162855
          37    -3.77704    -3.77663 0.000158863
          38    -3.77791    -3.77666 0.000158235
          39    -3.77744    -3.77668 0.000155443
          40    -3.77656    -3.77668 0.000151586
          41    -3.77778    -3.77671 0.000150263
          42     -3.7756    -3.77668 0.000148962
          43    -3.77801    -3.77671 0.000148662
          44     -3.7769    -3.77671 0.000145349
          45    -3.77562    -3.77669  0.00014415
          46    -3.77702     -3.7767 0.000141189
          47    -3.77588    -3.77668 0.000139242
          48    -3.77594    -3.77666 0.000137183
          49    -3.77618    -3.77665 0.000134739
          50    -3.77524    -3.77663 0.000134998
