Parametri:  mu=-0.728281 sigma=0.616058
Passo ottenuto per accettazione al 50%:   delta=2.47312

#     BLOCK:      H_AVE:       ERROR:     ACCEPTANCE:
           1   -0.433172           0       0.513
           2    -0.42115   0.0120224       0.479
           3   -0.420536  0.00696825       0.526
           4    -0.42507  0.00669639       0.522
           5   -0.407095   0.0187093       0.504
           6   -0.406126   0.0153067       0.506
           7   -0.411895   0.0141647       0.505
           8   -0.415507   0.0127875       0.533
           9   -0.416915   0.0113651        0.52
          10     -0.4178   0.0102037       0.538
          11   -0.420562  0.00963387       0.505
          12   -0.419327  0.00888071       0.516
          13   -0.421654  0.00849402        0.51
          14   -0.421233  0.00787521       0.494
          15   -0.419578  0.00751581        0.51
          16   -0.421586  0.00731144       0.517
          17   -0.421366  0.00687143       0.488
          18   -0.422797  0.00663472       0.513
          19   -0.422977   0.0062784       0.511
          20   -0.424328  0.00610757       0.509
          21   -0.424248  0.00581001       0.479
          22   -0.426594  0.00601577       0.518
          23   -0.426848  0.00575388       0.536
          24   -0.424474  0.00599868       0.486
          25   -0.424455  0.00575376       0.524
          26   -0.423721  0.00557644       0.513
          27   -0.425007  0.00551773       0.498
          28   -0.425055  0.00531723       0.484
          29   -0.424154  0.00520902       0.493
          30   -0.424654  0.00505713       0.514
          31   -0.423928  0.00494491       0.514
          32   -0.424156  0.00479332       0.532
          33   -0.424292  0.00464781       0.521
          34   -0.423881  0.00452775       0.508
          35   -0.424331  0.00441948       0.523
          36   -0.422231  0.00478104       0.504
          37    -0.42223  0.00465003       0.509
          38   -0.422498  0.00453394       0.497
          39   -0.422723  0.00442189        0.49
          40   -0.421581  0.00445866       0.517
          41   -0.419828  0.00468848       0.502
          42   -0.420072  0.00458197       0.508
          43    -0.42015  0.00447483       0.503
          44   -0.420004   0.0043744       0.518
          45   -0.420205  0.00428082       0.534
          46   -0.420548  0.00420077       0.516
          47   -0.420208  0.00412451       0.482
          48   -0.421131  0.00414198       0.518
          49   -0.420828  0.00406789       0.504
          50   -0.420858  0.00398581       0.512
          51   -0.421249   0.0039264       0.503
          52    -0.42128  0.00385028       0.513
          53   -0.421415  0.00377934       0.523
          54   -0.421034  0.00372822       0.534
          55   -0.420474  0.00370228        0.48
          56   -0.420036  0.00366193       0.495
          57   -0.420312  0.00360769       0.493
          58   -0.420274  0.00354514        0.51
          59   -0.420254  0.00348459       0.521
          60   -0.420065  0.00343124       0.537
          61   -0.419831  0.00338267       0.528
          62   -0.419738  0.00332896       0.511
          63   -0.419683  0.00327615       0.525
          64   -0.420037  0.00324398       0.495
          65   -0.420057  0.00319374       0.485
          66   -0.419535  0.00318792       0.509
          67   -0.419409  0.00314254       0.489
          68   -0.419117  0.00310971       0.525
          69   -0.419176  0.00306488       0.556
          70   -0.419586  0.00304856         0.5
          71    -0.41909  0.00304599       0.485
          72   -0.419048  0.00300368       0.508
          73   -0.419186  0.00296545       0.512
          74   -0.419346  0.00292946       0.523
          75     -0.4196  0.00290132       0.508
          76    -0.41964  0.00286317       0.511
          77   -0.420251  0.00289101       0.498
          78   -0.420112  0.00285706       0.522
          79   -0.419968  0.00282435       0.508
          80   -0.420181  0.00279697       0.542
          81   -0.419822  0.00278548       0.513
          82   -0.419766  0.00275186       0.518
          83   -0.419881  0.00272092       0.493
          84   -0.420395   0.0027371       0.486
          85   -0.420911  0.00275343       0.497
          86   -0.421005  0.00272284       0.511
          87   -0.421117  0.00269368        0.49
          88   -0.420795  0.00268224       0.489
          89   -0.420741  0.00265249       0.514
          90   -0.420621  0.00262557       0.502
          91   -0.420155  0.00263816        0.51
          92   -0.420158  0.00260933       0.501
          93   -0.419944  0.00259002       0.502
          94   -0.419905  0.00256261       0.493
          95   -0.420179  0.00255024       0.494
          96   -0.420032  0.00252784       0.513
          97   -0.419888  0.00250578       0.528
          98   -0.419899  0.00248011       0.513
          99   -0.419811   0.0024565       0.503
         100    -0.41988  0.00243279       0.508
