BETA:        ENERGY:       ERROR:      ACCEPTANCY:
 2     0.110127     0.0573261       0.55
 1.98     1.46638     0.217809       0.58
 1.9602     -0.0859664     0.173642       0.45
 1.9406     -0.0915036     0.0303208       0.49
 1.92119     0.280465     0.10433       0.56
 1.90198     -0.239141     0.023299       0.42
 1.88296     0.405362     0.0263816       0.53
 1.86413     -0.288329     0.0174582       0.57
 1.84549     -0.287463     0.0141876       0.55
 1.82703     -0.0143768     0.0601214       0.46
 1.80876     2.02516     0.142934       0.44
 1.79068     0.17564     0.0755172       0.49
 1.77277     0.0145261     0.0199247       0.58
 1.75504     -0.426916     0.0137854       0.45
 1.73749     0.0967013     0.0207132       0.56
 1.72012     -0.185692     0.0171928       0.61
 1.70292     3.23757     0.239199       0.47
 1.68589     -0.417376     0.0376109       0.49
 1.66903     -0.100085     0.0241094       0.51
 1.65234     0.319248     0.0731291       0.51
 1.63581     -0.0164746     0.0186151       0.58
 1.61946     -0.363578     0.0130928       0.52
 1.60326     0.0923779     0.0285883       0.56
 1.58723     -0.448771     0.00835553       0.52
 1.57136     0.459413     0.0200696       0.55
 1.55564     4.01207     0.317032       0.47
 1.54009     -0.360259     0.0182357       0.51
 1.52469     0.68307     0.107904       0.49
 1.50944     0.412512     0.23622       0.55
 1.49434     -0.242116     0.148668       0.48
 1.4794     -0.354659     0.0197176       0.45
 1.46461     2.11021     0.0444114       0.53
 1.44996     0.143045     0.0309424       0.55
 1.43546     -0.124044     0.0255667       0.42
 1.42111     2.42495     0.0122086       0.57
 1.4069     -0.159054     0.0261512       0.63
 1.39283     -0.425333     0.0276989       0.61
 1.3789     0.013917     0.0911448       0.42
 1.36511     -0.31045     0.0608986       0.47
 1.35146     -0.224468     0.0157187       0.56
 1.33794     -0.174638     0.0431329       0.51
 1.32456     2.19249     0.0965179       0.48
 1.31132     -0.130523     0.0103832       0.5
 1.29821     -0.138519     0.0439927       0.47
 1.28522     0.19314     0.0365894       0.53
 1.27237     0.401303     0.132993       0.53
 1.25965     -0.205356     0.0421974       0.55
 1.24705     -0.117887     0.0131421       0.47
 1.23458     -0.22988     0.0233545       0.44
 1.22223     1.97608     0.112112       0.56
 1.21001     0.0141928     0.0190814       0.56
 1.19791     -0.0146938     0.0413302       0.56
 1.18593     -0.110578     0.0609179       0.53
 1.17407     0.274101     0.0908447       0.53
 1.16233     -0.320684     0.0140527       0.55
 1.15071     -0.19091     0.0313065       0.5
 1.1392     0.232218     0.0741322       0.6
 1.12781     -0.352532     0.0104901       0.53
 1.11653     -0.200615     0.0337976       0.5
 1.10537     0.156871     0.0212001       0.41
 1.09431     -0.023339     0.0168006       0.58
 1.08337     -0.0813568     0.0138468       0.51
 1.07254     -0.241955     0.0147621       0.53
 1.06181     -0.2442     0.0439548       0.5
 1.05119     -0.199031     0.00852125       0.51
 1.04068     3.10991     0.215818       0.52
 1.03027     1.42934     0.194276       0.5
 1.01997     -0.212417     0.0309529       0.47
 1.00977     0.559827     0.0193756       0.54
 0.999674     0.484793     0.0837389       0.57
 0.989677     0.293929     0.124735       0.5
 0.979781     -0.255495     0.0123255       0.6
 0.969983     -0.211253     0.0224491       0.47
 0.960283     0.309416     0.0720519       0.55
 0.95068     -0.445139     0.073165       0.51
 0.941173     -0.328296     0.0148706       0.45
 0.931762     -0.0681136     0.0653984       0.48
 0.922444     -0.220761     0.0199119       0.48
 0.913219     0.108677     0.0233601       0.33
 0.904087     -0.194473     0.203637       0.53
 0.895046     -0.0600324     0.0201614       0.54
 0.886096     -0.127909     0.0367751       0.54
 0.877235     -0.0185631     0.0183081       0.54
 0.868463     -0.35969     0.00895427       0.56
 0.859778     -0.355012     0.0197066       0.46
 0.85118     0.278856     0.16206       0.53
 0.842668     -0.412069     0.0308341       0.44
 0.834242     0.403107     0.0150072       0.59
 0.825899     -0.322666     0.0287783       0.51
 0.81764     -0.270261     0.0453845       0.6
 0.809464     -0.389567     0.0246642       0.46
 0.801369     -0.373114     0.205561       0.55
 0.793356     -0.220758     0.0163225       0.46
 0.785422     -0.16443     0.0101488       0.48
 0.777568     -0.154823     0.233256       0.49
 0.769792     -0.159089     0.0176211       0.52
 0.762094     0.605779     0.0310093       0.45
 0.754473     -0.356796     0.0302516       0.55
 0.746929     -0.363974     0.015155       0.55
 0.739459     -0.209083     0.0375108       0.53
 0.732065     0.0236047     0.0563539       0.55
 0.724744     -0.0429042     0.0317188       0.56
 0.717497     -0.0220241     0.0378057       0.52
 0.710322     -0.322451     0.00961445       0.61
 0.703218     -0.257664     0.0162133       0.58
 0.696186     -0.0351684     0.047703       0.5
 0.689224     -0.224287     0.0130412       0.58
 0.682332     -0.178343     0.0215013       0.57
 0.675509     0.219165     0.0181774       0.43
 0.668754     -0.0743589     0.0575763       0.55
 0.662066     -0.399995     0.0173853       0.58
 0.655446     -0.0406402     0.0225043       0.53
 0.648891     -0.243528     0.0337878       0.42
 0.642402     0.239946     0.0281715       0.46
 0.635978     -0.159167     0.0427758       0.54
 0.629618     -0.199971     0.0540819       0.5
 0.623322     -0.187945     0.0325469       0.46
 0.617089     -0.223934     0.041381       0.5
 0.610918     0.0953457     0.0812253       0.52
 0.604809     -0.252001     0.0227847       0.48
 0.598761     -0.242856     0.125541       0.5
 0.592773     0.511976     0.0581832       0.58
 0.586845     0.169047     0.040002       0.56
 0.580977     -0.0518535     0.0367306       0.57
 0.575167     -0.291785     0.0171284       0.48
 0.569416     -0.26828     0.0360123       0.5
 0.563721     -7.22349e-05     0.060837       0.58
 0.558084     0.309612     0.0131653       0.49
 0.552503     -0.437751     0.00864822       0.5
 0.546978     -0.395518     0.0188484       0.42
 0.541509     -0.0675574     0.0150622       0.48
 0.536093     -0.191082     0.0323705       0.55
 0.530732     -0.339076     0.0194033       0.53
 0.525425     -0.172229     0.0301977       0.54
 0.520171     -0.259442     0.0192499       0.44
 0.514969     -0.247512     0.0146523       0.46
 0.50982     -0.228208     0.0472649       0.55
 0.504721     -0.235723     0.0268496       0.57
 0.499674     0.290853     0.110512       0.52
 0.494677     -0.0398805     0.0179017       0.45
 0.489731     -0.347757     0.00914947       0.55
 0.484833     -0.409669     0.0123392       0.42
 0.479985     -0.115827     0.0232939       0.42
 0.475185     -0.152524     0.0291227       0.5
 0.470433     -0.211817     0.0117896       0.46
 0.465729     0.089301     0.103125       0.47
 0.461072     -0.351244     0.0618426       0.55
 0.456461     -0.244479     0.0439175       0.5
 0.451896     -0.244034     0.0135113       0.55
 0.447377     0.171208     0.0556102       0.51
 0.442904     -0.286725     0.0198897       0.55
 0.438475     1.45133     0.0755618       0.39
 0.43409     -0.169786     0.012779       0.55
 0.429749     0.0622122     0.0106429       0.51
 0.425451     0.595608     0.0368725       0.55
 0.421197     -0.174405     0.00756728       0.46
 0.416985     -0.425858     0.010722       0.49
 0.412815     -0.178863     0.0336014       0.56
 0.408687     -0.288557     0.015836       0.5
 0.4046     -0.303346     0.0136146       0.52
 0.400554     -0.446021     0.00914131       0.58
 0.396549     -0.109659     0.0173816       0.54
 0.392583     -0.368298     0.0085369       0.51
 0.388657     0.402108     0.10066       0.53
 0.384771     -0.215413     0.0794999       0.57
 0.380923     0.0191348     0.021139       0.55
 0.377114     -0.249823     0.0189077       0.55
 0.373343     -0.184496     0.0363863       0.55
 0.369609     0.247956     0.104777       0.52
 0.365913     0.320032     0.0841449       0.53
 0.362254     -0.184941     0.02418       0.49
 0.358631     -0.274483     0.0149268       0.53
 0.355045     -0.256046     0.0642261       0.48
 0.351495     -0.14127     0.0172368       0.53
 0.34798     0.408698     0.0780145       0.61
 0.3445     0.250993     0.028179       0.49
 0.341055     1.24785     0.0612674       0.5
 0.337644     -0.176204     0.0105327       0.57
 0.334268     -0.217031     0.0312077       0.46
 0.330925     -0.310653     0.0345729       0.51
 0.327616     -0.406807     0.0116056       0.55
 0.32434     -0.342088     0.0134682       0.58
 0.321096     -0.211131     0.043686       0.44
 0.317885     0.322088     0.0726868       0.57
 0.314707     0.0384355     0.0283038       0.55
 0.311559     -0.229751     0.0171594       0.55
 0.308444     -0.315283     0.0171365       0.56
 0.305359     -0.244897     0.0340619       0.45
 0.302306     0.650721     0.0782574       0.55
 0.299283     -0.154518     0.0163198       0.56
 0.29629     -0.219553     0.014744       0.54
 0.293327     -0.146617     0.0491246       0.42
 0.290394     -0.243456     0.0172504       0.43
 0.28749     0.00610072     0.036318       0.49
 0.284615     -0.260703     0.0137839       0.45
 0.281769     -0.247182     0.0193069       0.52
 0.278951     -0.264794     0.0191164       0.55
 0.276162     -0.238633     0.0146176       0.52
 0.2734     -0.338511     0.0489169       0.56
 0.270666     -0.147937     0.0590954       0.52
 0.267959     -0.379636     0.0114037       0.47
 0.26528     -0.253873     0.0449227       0.52
 0.262627     -0.16757     0.015189       0.49
 0.260001     -0.30412     0.0214167       0.46
 0.257401     -0.299331     0.0134254       0.56
 0.254827     -0.148004     0.0298946       0.55
 0.252278     0.481008     0.106205       0.48
 0.249756     -0.101651     0.01417       0.55
 0.247258     -0.259845     0.0152911       0.45
 0.244785     -0.116123     0.0287591       0.57
 0.242338     0.033101     0.0169767       0.6
 0.239914     -0.283662     0.0240881       0.43
 0.237515     -0.240177     0.0421719       0.54
 0.23514     -0.110486     0.0250002       0.5
 0.232789     -0.401853     0.0096384       0.48
 0.230461     -0.311909     0.0176259       0.52
 0.228156     -0.289986     0.0391622       0.51
 0.225875     -0.247557     0.0205377       0.56
 0.223616     -0.262367     0.021113       0.49
 0.22138     0.45405     0.0604428       0.43
 0.219166     0.208444     0.0176555       0.57
 0.216974     -0.311096     0.0167144       0.56
 0.214804     0.336529     0.0336853       0.51
 0.212656     -0.174295     0.00978753       0.46
 0.21053     0.196497     0.0823146       0.46
 0.208425     -0.0321468     0.0218484       0.49
 0.20634     -0.149476     0.0140802       0.51
 0.204277     -0.199227     0.0168787       0.43
 0.202234     -0.128856     0.0381464       0.49
 0.200212     -0.210823     0.0358804       0.5
 0.19821     0.231569     0.100782       0.44
 0.196228     -0.189833     0.0334933       0.49
 0.194265     -0.194188     0.0154486       0.44
 0.192323     -0.358197     0.0151131       0.47
 0.190399     -0.399559     0.0124482       0.52
 0.188495     -0.0466705     0.0133029       0.56
 0.18661     -0.217303     0.0276848       0.52
