Parametri: T=0.0100179 mu=-0.728281 sigma=0.616058
Passo ottenuto per accettazione al 50%:   delta=2.47312

#     BLOCK:      H_AVE:       ERROR:     ACCEPTANCE:
           1   -0.473309           0        0.42
           2   -0.428241   0.0450674        0.54
           3   -0.416936   0.0283694        0.53
           4   -0.409182   0.0215066        0.57
           5   -0.410806   0.0167379        0.43
           6   -0.418909   0.0158877        0.56
           7   -0.424372   0.0144965        0.47
           8   -0.420103   0.0132604        0.52
           9   -0.420297   0.0116962        0.53
          10   -0.421383   0.0105176        0.49
          11    -0.42922   0.0123258        0.59
          12   -0.424002   0.0124032        0.48
          13   -0.416089   0.0138848        0.41
          14   -0.408851   0.0147521         0.5
          15   -0.417927   0.0164614        0.51
          16    -0.42153    0.015814        0.49
          17   -0.416876   0.0155666        0.49
          18   -0.415743     0.01472        0.56
          19   -0.419612   0.0144513        0.52
          20   -0.417812   0.0138274         0.5
          21   -0.419536    0.013265        0.48
          22   -0.425885   0.0141519        0.53
          23   -0.419085   0.0151361        0.44
          24   -0.417667   0.0145609        0.49
          25   -0.423956   0.0153171        0.59
          26   -0.427188   0.0150669        0.48
          27   -0.426658   0.0145078         0.6
          28   -0.428272    0.014073        0.46
          29   -0.428445   0.0135802        0.56
          30   -0.432305   0.0136757        0.52
          31   -0.429989   0.0134283        0.63
          32   -0.428218    0.013122        0.52
          33   -0.424215   0.0133334         0.5
          34   -0.423545   0.0129526        0.51
          35   -0.421106   0.0128115        0.56
          36   -0.425157    0.013093        0.55
          37   -0.423568   0.0128329        0.56
          38   -0.425257   0.0126044        0.54
          39   -0.426335   0.0123242        0.45
          40   -0.427183    0.012042        0.42
          41   -0.426716   0.0117539        0.47
          42    -0.42593   0.0114976        0.52
          43   -0.425551   0.0112334        0.52
          44   -0.426145   0.0109912        0.49
          45    -0.42589   0.0107472        0.47
          46   -0.425163    0.010536        0.45
          47   -0.425733   0.0103252        0.55
          48   -0.428003   0.0103596         0.5
          49    -0.42637   0.0102766        0.43
          50   -0.425826   0.0100836        0.55
          51   -0.426503  0.00990712        0.54
          52   -0.425296  0.00978945        0.51
          53   -0.425462   0.0096044         0.5
          54   -0.423743  0.00958035        0.47
          55   -0.423186  0.00942098        0.48
          56   -0.424519  0.00934666         0.5
          57   -0.425554  0.00923944        0.47
          58   -0.425937  0.00908679        0.62
          59   -0.427967  0.00915938         0.5
          60   -0.426922  0.00906595        0.53
          61   -0.429661  0.00932758         0.5
          62   -0.429285   0.0091836        0.51
          63   -0.430551  0.00912492        0.58
          64   -0.430781  0.00898415        0.53
          65   -0.430359  0.00885493        0.49
          66   -0.430901  0.00873658        0.49
          67   -0.429748  0.00868217        0.53
          68   -0.429021  0.00858435        0.46
          69   -0.429005  0.00845904        0.55
          70   -0.429243  0.00834071        0.57
          71   -0.429185   0.0082226        0.47
          72   -0.429031  0.00810905        0.49
          73   -0.428223  0.00803791        0.43
          74   -0.429022  0.00796865        0.49
          75   -0.429627  0.00788494        0.51
          76   -0.428971  0.00780806        0.46
          77   -0.428296  0.00773547        0.53
          78   -0.429414  0.00771701        0.49
          79   -0.428733  0.00764903        0.51
          80   -0.429775  0.00762429        0.49
          81    -0.43135   0.0076926        0.49
          82   -0.430619  0.00763333        0.49
          83   -0.430779  0.00754251        0.49
          84   -0.431283   0.0074692        0.55
          85   -0.430688   0.0074048        0.56
          86   -0.430706  0.00731822        0.48
          87   -0.430974  0.00723856        0.44
          88   -0.433073  0.00745736        0.55
          89   -0.433576  0.00739025        0.52
          90   -0.433014  0.00732933        0.41
          91   -0.432617   0.0072592         0.5
          92   -0.431879  0.00721769         0.5
          93   -0.431456  0.00715216        0.53
          94   -0.431136  0.00708289        0.49
          95   -0.431557  0.00702058        0.47
          96   -0.431149  0.00695903        0.42
          97   -0.430919  0.00689074        0.49
          98   -0.430842  0.00682051        0.53
          99   -0.431053  0.00675456        0.68
         100   -0.431008  0.00668682        0.59
